profile_id,from_country,from_city,to_country,to_city,fpp_delta_usd,rfpg_percent,pc_fpp_delta_usd
F1,Brazil,São Paulo,Brazil,Rio de Janeiro,48.0,9.056603773584905,48.0
F1,Brazil,São Paulo,Brazil,Belo Horizonte,174.0,32.83018867924528,174.0
F1,Brazil,São Paulo,Brazil,Salvador,240.0,45.28301886792453,240.0
F1,Brazil,São Paulo,Brazil,Curitiba,136.0,25.660377358490567,136.0
F1,Brazil,São Paulo,USA,New York,1270.0,239.62264150943398,1270.0
F1,Brazil,São Paulo,USA,San Francisco,780.0,147.16981132075472,780.0
F1,Brazil,São Paulo,USA,Austin,2340.0,441.5094339622642,2340.0
F1,Brazil,São Paulo,USA,Miami,1880.0,354.7169811320755,1880.0
F1,Brazil,São Paulo,Germany,Berlin,3523.763440860215,664.861026577399,3523.763440860215
F1,Brazil,São Paulo,Germany,Munich,2986.129032258064,563.420572124163,2986.129032258064
F1,Brazil,São Paulo,Germany,Frankfurt,3260.322580645161,615.1552038953133,3260.322580645161
F1,Brazil,São Paulo,France,Paris,3389.354838709677,639.50091296409,3389.354838709677
F1,Brazil,São Paulo,France,Lyon,4034.5161290322576,761.2294583079731,4034.5161290322576
F1,Brazil,São Paulo,France,Marseille,4136.666666666666,780.5031446540879,4136.666666666666
F1,Brazil,São Paulo,Portugal,Lisbon,4287.204301075269,808.906471900994,4287.204301075269
F1,Brazil,São Paulo,Portugal,Porto,4550.645161290322,858.6122945830797,4550.645161290322
F1,Brazil,São Paulo,Portugal,Faro,4642.043010752688,875.8571718401299,4642.043010752688
F1,Brazil,Rio de Janeiro,Brazil,São Paulo,-48.0,-8.304498269896193,-48.0
F1,Brazil,Rio de Janeiro,Brazil,Belo Horizonte,126.0,21.79930795847751,126.0
F1,Brazil,Rio de Janeiro,Brazil,Salvador,192.0,33.21799307958477,192.0
F1,Brazil,Rio de Janeiro,Brazil,Curitiba,88.0,15.22491349480969,88.0
F1,Brazil,Rio de Janeiro,USA,New York,1222.0,211.41868512110727,1222.0
F1,Brazil,Rio de Janeiro,USA,San Francisco,732.0,126.64359861591696,732.0
F1,Brazil,Rio de Janeiro,USA,Austin,2292.0,396.53979238754323,2292.0
F1,Brazil,Rio de Janeiro,USA,Miami,1832.0,316.9550173010381,1832.0
F1,Brazil,Rio de Janeiro,Germany,Berlin,3475.763440860215,601.3431558581686,3475.763440860215
F1,Brazil,Rio de Janeiro,Germany,Munich,2938.129032258064,508.3268221899765,2938.129032258064
