person_id,city_br,dependents,rent_status,housing_cost,basic_food_cost,transport_cost,utilities_cost,healthcare_cost,dependent_adjustment,total_household_cost,cost_per_capita,economic_pressure_ratio
e275cfad-82df-4b07-b337-e52fa6d47688,Campo Grande,1,cedido,1100,650,200,280,150,534.0,2914.0,1457.0,0.5603846153846154
6750f107-61f8-4133-a47a-6c8c5800501f,Brasília,0,próprio,600,650,200,280,150,0.0,1880.0,1880.0,0.5465116279069767
758e3350-c2c3-47b7-83a0-f9a6c8b78e42,Vitória,0,aluguel,1200,650,200,280,150,0.0,2480.0,2480.0,0.7045454545454546
0d58a420-06f0-4876-b36b-afcfca29154d,Vitória,0,próprio,600,650,200,280,150,0.0,1880.0,1880.0,0.6429548563611491
99a9d15b-91b6-4548-a320-9bfeb5d1ebea,Campinas,0,cedido,900,800,250,300,200,0.0,2450.0,2450.0,1.1395348837209303
09366a5b-08e8-4b72-8cf4-bce662db362f,Campinas,0,próprio,900,800,250,300,200,0.0,2450.0,2450.0,0.6380208333333334
de20359b-ec72-47fa-aaab-8f110840bb63,Fortaleza,0,próprio,500,600,180,250,120,0.0,1650.0,1650.0,1.6304347826086956
69fe62b8-1880-49c1-a107-3ab548babbd3,Vitória,2,aluguel,2200,650,200,280,150,1068.0,4548.0,1516.0,0.32728842832469773
8a99af41-76cb-4d70-83c3-b218d0f44b68,São Paulo,0,próprio,900,800,250,300,200,0.0,2450.0,2450.0,0.5104166666666666
239d38f1-06fe-43ce-9c7f-cd98acc66807,São Paulo,0,próprio,900,800,250,300,200,0.0,2450.0,2450.0,1.7753623188405796
e918061f-fd42-404a-aeef-4b14775578bf,Cuiabá,1,aluguel,2200,650,200,280,150,534.0,4014.0,2007.0,2.296338672768879
a0e18f6a-1771-4c6e-a508-da7347673a78,Rio Branco,0,cedido,500,600,180,250,120,0.0,1650.0,1650.0,0.8967391304347826
1be21ce3-de56-4545-b5f9-454ee69bc253,Rio de Janeiro,1,próprio,1500,750,230,350,180,627.0,3637.0,1818.5,1.0843768634466309
beb1593c-00d0-446b-803b-f70b5fc0d235,Manaus,0,próprio,600,650,200,280,150,0.0,1880.0,1880.0,0.34057971014492755
152d5ff8-7d65-40b3-aace-08644bd16822,Curitiba,0,próprio,650,680,210,320,160,0.0,2020.0,2020.0,0.6158536585365854
099e7fda-5e88-4f88-931a-069aac54a1f3,Recife,0,próprio,500,600,180,250,120,0.0,1650.0,1650.0,0.6395348837209303
e6697281-dcbe-478f-a761-5d4a0df2935d,São Luís,0,aluguel,1000,600,180,250,120,0.0,2150.0,2150.0,0.5375
